# Volume injected (mL),pressure (bar)
2.102018956749999834e+00,1.761061302000000106e+00
2.101985623416666726e+00,1.761061302000000106e+00
2.101952290083333175e+00,1.761061302000000106e+00
2.101918956750000067e+00,1.761061302000000106e+00
2.101885623416666959e+00,1.761061302000000106e+00
2.101852290083332964e+00,1.756924442000000086e+00
2.101818956749999856e+00,1.758992872000000096e+00
2.101785623416666304e+00,1.761061302000000106e+00
2.101752290083333197e+00,1.761061302000000106e+00
2.101718956750000089e+00,1.761061302000000106e+00
2.101685623416666537e+00,1.758992872000000096e+00
2.101652290083333430e+00,1.758992872000000096e+00
2.101618956749999434e+00,1.761061302000000106e+00
2.101585623416666326e+00,1.758992872000000096e+00
2.101552290083333219e+00,1.758992872000000096e+00
2.101518956749999667e+00,1.761061302000000106e+00
2.101485623416666559e+00,1.756924442000000086e+00
2.101452290083333452e+00,1.761061302000000106e+00
2.101418956749999900e+00,1.752787582000000288e+00
2.101385623416666792e+00,1.761061302000000106e+00
2.101352290083332797e+00,1.758992872000000096e+00
2.101318956749999689e+00,1.761061302000000106e+00
2.101285623416666581e+00,1.752787582000000288e+00
2.101252290083333030e+00,1.761061302000000106e+00
2.101218956749999922e+00,1.761061302000000106e+00
2.101185623416666814e+00,1.756924442000000086e+00
2.101152290083333263e+00,1.752787582000000288e+00
2.101118956749999711e+00,1.758992872000000096e+00
2.101085623416666159e+00,1.758992872000000096e+00
2.101052290083333052e+00,1.754856012000000298e+00
2.101018956749999944e+00,1.756924442000000086e+00
2.100985623416666392e+00,1.758992872000000096e+00
2.100952290083333285e+00,1.758992872000000096e+00
2.100918956750000177e+00,1.754856012000000298e+00
2.100885623416666625e+00,1.758992872000000096e+00
2.100852290083333074e+00,1.761061302000000106e+00
2.100818956749999522e+00,1.752787582000000288e+00
2.100785623416666414e+00,1.761061302000000106e+00
2.100752290083333307e+00,1.758992872000000096e+00
2.100718956749999755e+00,1.761061302000000106e+00
2.100685623416666648e+00,1.761061302000000106e+00
2.100652290083333540e+00,1.758992872000000096e+00
2.100618956749999988e+00,1.758992872000000096e+00
2.100585623416666436e+00,1.758992872000000096e+00
