# Volume [mL],Pressure [Bar]
2.391452269083333082e+00,1.159007474999999943e+01
2.391418935749999974e+00,1.154043255000000023e+01
2.391385602416666423e+00,1.161213794999999926e+01
2.391352269083333315e+00,1.156939050000000258e+01
2.391318935750000207e+00,1.160524320000000209e+01
2.391285602416666656e+00,1.151974829999999983e+01
2.391252269083333104e+00,1.158318000000000225e+01
2.391218935749999552e+00,1.153353780000000128e+01
2.391185602416666445e+00,1.160524320000000209e+01
2.391152269083333337e+00,1.166178015000000201e+01
2.391118935749999785e+00,1.159696950000000193e+01
2.391085602416666678e+00,1.161213794999999926e+01
2.391052269083333570e+00,1.159007474999999943e+01
2.391018935749999574e+00,1.151285355000000088e+01
2.390985602416666467e+00,1.157628524999999975e+01
2.390952269083332915e+00,1.154732730000000096e+01
2.390918935749999807e+00,1.154043255000000023e+01
2.390885602416666700e+00,1.151974829999999983e+01
2.390852269083333148e+00,1.160524320000000209e+01
2.390818935750000040e+00,1.154043255000000023e+01
2.390785602416666933e+00,1.161213794999999926e+01
2.390752269083332937e+00,1.163282220000000144e+01
2.390718935749999829e+00,1.162592745000000072e+01
2.390685602416666278e+00,1.155560100000000290e+01
2.390652269083333170e+00,1.158318000000000225e+01
2.390618935750000063e+00,1.159696950000000193e+01
2.390585602416666511e+00,1.151974829999999983e+01
2.390552269083333403e+00,1.156249575000000007e+01
2.390518935750000296e+00,1.154732730000000096e+01
2.390485602416666300e+00,1.158318000000000225e+01
2.390452269083333192e+00,1.156939050000000258e+01
2.390418935749999640e+00,1.149906405000000120e+01
2.390385602416666533e+00,1.157628524999999975e+01
2.390352269083333425e+00,1.156249575000000007e+01
2.390318935749999874e+00,1.154732730000000096e+01
2.390285602416666766e+00,1.157628524999999975e+01
2.390252269083332770e+00,1.154043255000000023e+01
2.390218935749999662e+00,1.157628524999999975e+01
2.390185602416666555e+00,1.151974829999999983e+01
2.390152269083333003e+00,1.158318000000000225e+01
2.390118935749999896e+00,1.155560100000000290e+01
2.390085602416666788e+00,1.151285355000000088e+01
2.390052269083333236e+00,1.158318000000000225e+01
2.390018935750000129e+00,1.156939050000000258e+01
2.389985602416666133e+00,1.150595880000000015e+01
2.389952269083333025e+00,1.153353780000000128e+01
2.389918935749999918e+00,1.155560100000000290e+01
2.389885602416666366e+00,1.161213794999999926e+01
2.389852269083333258e+00,1.156939050000000258e+01
2.389818935750000151e+00,1.156939050000000258e+01
2.389785602416666599e+00,1.153353780000000128e+01
2.389752269083333047e+00,1.157628524999999975e+01
2.389718935749999495e+00,1.161903270000000177e+01
2.389685602416666388e+00,1.149906405000000120e+01
2.389652269083333280e+00,1.158318000000000225e+01
2.389618935749999729e+00,1.154043255000000023e+01
2.389585602416666621e+00,1.163971695000000217e+01
2.389552269083333513e+00,1.154732730000000096e+01
2.389518935749999962e+00,1.159696950000000193e+01
2.389485602416666410e+00,1.153353780000000128e+01
2.389452269083332858e+00,1.161903270000000177e+01
2.389418935749999751e+00,1.162592745000000072e+01
2.389385602416666643e+00,1.159696950000000193e+01
2.389352269083333091e+00,1.162592745000000072e+01
2.389318935749999984e+00,1.164661170000000112e+01
2.389285602416666876e+00,1.149079035000000104e+01
2.389252269083333324e+00,1.155560100000000290e+01
2.389218935749999773e+00,1.156249575000000007e+01
2.389185602416666221e+00,1.157628524999999975e+01
2.389152269083333113e+00,1.152664305000000056e+01
2.389118935750000006e+00,1.160524320000000209e+01
2.389085602416666454e+00,1.152664305000000056e+01
2.389052269083333346e+00,1.149906405000000120e+01
2.389018935750000239e+00,1.149079035000000104e+01
2.388985602416666243e+00,1.149079035000000104e+01
2.388952269083333135e+00,1.155560100000000290e+01
2.388918935749999584e+00,1.160524320000000209e+01
2.388885602416666476e+00,1.150595880000000015e+01
2.388852269083333368e+00,1.155560100000000290e+01
2.388818935749999817e+00,1.156939050000000258e+01
2.388785602416666709e+00,1.151974829999999983e+01
2.388752269083333601e+00,1.154043255000000023e+01
2.388718935749999606e+00,1.156249575000000007e+01
2.388685602416666498e+00,1.150595880000000015e+01
2.388652269083332946e+00,1.147700085000000136e+01
2.388618935749999839e+00,1.155560100000000290e+01
2.388585602416666731e+00,1.152664305000000056e+01
2.388552269083333179e+00,1.155560100000000290e+01
2.388518935750000072e+00,1.147700085000000136e+01
2.388485602416666076e+00,1.156939050000000258e+01
2.388452269083332968e+00,1.156249575000000007e+01
2.388418935749999861e+00,1.154043255000000023e+01
2.388385602416666309e+00,1.159007474999999943e+01
