# Volume (mL), Pressure (Bar)
2.488388096749999612e+00,2.361319688000000472e+00
2.488354763416666504e+00,2.353045967999999988e+00
2.488321430083333397e+00,2.355114397999999998e+00
2.488288096749999845e+00,2.361319688000000472e+00
2.488254763416666737e+00,2.355114397999999998e+00
2.488221430083332741e+00,2.355114397999999998e+00
2.488188096749999634e+00,2.355114397999999998e+00
2.488154763416666526e+00,2.357182828000000452e+00
2.488121430083332974e+00,2.355114397999999998e+00
2.488088096749999867e+00,2.361319688000000472e+00
2.488054763416666759e+00,2.355114397999999998e+00
2.488021430083333208e+00,2.355114397999999998e+00
2.487988096750000100e+00,2.363388118000000482e+00
2.487954763416666104e+00,2.361319688000000472e+00
2.487921430083332996e+00,2.355114397999999998e+00
2.487888096749999889e+00,2.363388118000000482e+00
2.487854763416666337e+00,2.355114397999999998e+00
2.487821430083333230e+00,2.355114397999999998e+00
2.487788096750000122e+00,2.363388118000000482e+00
2.487754763416666570e+00,2.363388118000000482e+00
2.487721430083333463e+00,2.359251258000000462e+00
2.487688096749999467e+00,2.363388118000000482e+00
2.487654763416666359e+00,2.357182828000000452e+00
2.487621430083333252e+00,2.357182828000000452e+00
2.487588096749999700e+00,2.363388118000000482e+00
2.487554763416666592e+00,2.359251258000000462e+00
2.487521430083333485e+00,2.361319688000000472e+00
2.487488096749999933e+00,2.363388118000000482e+00
2.487454763416666381e+00,2.363388118000000482e+00
2.487421430083332829e+00,2.359251258000000462e+00
2.487388096749999722e+00,2.359251258000000462e+00
2.487354763416666614e+00,2.357182828000000452e+00
2.487321430083333063e+00,2.363388118000000482e+00
2.487288096749999955e+00,2.363388118000000482e+00
2.487254763416666847e+00,2.361319688000000472e+00
2.487221430083333296e+00,2.363388118000000482e+00
2.487188096749999744e+00,2.361319688000000472e+00
2.487154763416666192e+00,2.355114397999999998e+00
2.487121430083333085e+00,2.363388118000000482e+00
2.487088096749999977e+00,2.359251258000000462e+00
2.487054763416666425e+00,2.363388118000000482e+00
2.487021430083333318e+00,2.357182828000000452e+00
2.486988096750000210e+00,2.357182828000000452e+00
2.486954763416666658e+00,2.363388118000000482e+00
2.486921430083333107e+00,2.361319688000000472e+00
2.486888096749999555e+00,2.361319688000000472e+00
2.486854763416666447e+00,2.357182828000000452e+00
2.486821430083333340e+00,2.361319688000000472e+00
2.486788096749999788e+00,2.363388118000000482e+00
2.486754763416666680e+00,2.363388118000000482e+00
2.486721430083333573e+00,2.359251258000000462e+00
2.486688096749999577e+00,2.355114397999999998e+00
2.486654763416666469e+00,2.363388118000000482e+00
2.486621430083332918e+00,2.355114397999999998e+00
2.486588096749999810e+00,2.357182828000000452e+00
2.486554763416666702e+00,2.359251258000000462e+00
2.486521430083333151e+00,2.361319688000000472e+00
2.486488096750000043e+00,2.363388118000000482e+00
2.486454763416666935e+00,2.359251258000000462e+00
2.486421430083332940e+00,2.355114397999999998e+00
2.486388096749999832e+00,2.361319688000000472e+00
2.486354763416666280e+00,2.363388118000000482e+00
2.486321430083333173e+00,2.361319688000000472e+00
2.486288096750000065e+00,2.363388118000000482e+00
2.486254763416666513e+00,2.363388118000000482e+00
2.486221430083333406e+00,2.357182828000000452e+00
2.486188096749999410e+00,2.361319688000000472e+00
2.486154763416666302e+00,2.357182828000000452e+00
2.486121430083333195e+00,2.361319688000000472e+00
2.486088096749999643e+00,2.361319688000000472e+00
2.486054763416666535e+00,2.361319688000000472e+00
2.486021430083333428e+00,2.361319688000000472e+00
2.485988096749999876e+00,2.357182828000000452e+00
2.485954763416666768e+00,2.363388118000000482e+00
2.485921430083332773e+00,2.363388118000000482e+00
2.485888096749999665e+00,2.355114397999999998e+00
2.485854763416666557e+00,2.361319688000000472e+00
2.485821430083333006e+00,2.355114397999999998e+00
2.485788096749999898e+00,2.355114397999999998e+00
2.485754763416666790e+00,2.363388118000000482e+00
2.485721430083333239e+00,2.355114397999999998e+00
2.485688096750000131e+00,2.359251258000000462e+00
2.485654763416666135e+00,2.361319688000000472e+00
2.485621430083333028e+00,2.355114397999999998e+00
2.485588096749999920e+00,2.361319688000000472e+00
2.485554763416666368e+00,2.363388118000000482e+00
2.485521430083333261e+00,2.361319688000000472e+00
2.485488096750000153e+00,2.361319688000000472e+00
2.485454763416666601e+00,2.363388118000000482e+00
2.485421430083333050e+00,2.361319688000000472e+00
2.485388096749999498e+00,2.363388118000000482e+00
2.485354763416666390e+00,2.361319688000000472e+00
2.485321430083333283e+00,2.357182828000000452e+00
2.485288096749999731e+00,2.361319688000000472e+00
2.485254763416666623e+00,2.359251258000000462e+00
2.485221430083333516e+00,2.355114397999999998e+00
2.485188096749999964e+00,2.357182828000000452e+00
2.485154763416666412e+00,2.363388118000000482e+00
2.485121430083332861e+00,2.361319688000000472e+00
2.485088096749999753e+00,2.361319688000000472e+00
2.485054763416666646e+00,2.363388118000000482e+00
2.485021430083333094e+00,2.359251258000000462e+00
2.484988096749999986e+00,2.357182828000000452e+00
2.484954763416666879e+00,2.357182828000000452e+00
2.484921430083333327e+00,2.361319688000000472e+00
2.484888096749999775e+00,2.359251258000000462e+00
2.484854763416666223e+00,2.361319688000000472e+00
2.484821430083333116e+00,2.359251258000000462e+00
2.484788096750000008e+00,2.361319688000000472e+00
2.484754763416666457e+00,2.361319688000000472e+00
2.484721430083333349e+00,2.363388118000000482e+00
2.484688096750000241e+00,2.355114397999999998e+00
2.484654763416666245e+00,2.361319688000000472e+00
2.484621430083333138e+00,2.361319688000000472e+00
2.484588096749999586e+00,2.359251258000000462e+00
2.484554763416666479e+00,2.363388118000000482e+00
2.484521430083333371e+00,2.361319688000000472e+00
2.484488096749999819e+00,2.359251258000000462e+00
2.484454763416666712e+00,2.361319688000000472e+00
2.484421430083333604e+00,2.361319688000000472e+00
2.484388096749999608e+00,2.357182828000000452e+00
2.484354763416666501e+00,2.361319688000000472e+00
2.484321430083332949e+00,2.363388118000000482e+00
2.484288096749999841e+00,2.363388118000000482e+00
2.484254763416666734e+00,2.363388118000000482e+00
2.484221430083333182e+00,2.363388118000000482e+00
2.484188096750000074e+00,2.357182828000000452e+00
2.484154763416666079e+00,2.355114397999999998e+00
2.484121430083332971e+00,2.361319688000000472e+00
2.484088096749999863e+00,2.361319688000000472e+00
2.484054763416666312e+00,2.363388118000000482e+00
2.484021430083333204e+00,2.361319688000000472e+00
2.483988096750000096e+00,2.361319688000000472e+00
2.483954763416666545e+00,2.355114397999999998e+00
2.483921430083333437e+00,2.359251258000000462e+00
2.483888096749999441e+00,2.355114397999999998e+00
2.483854763416666334e+00,2.363388118000000482e+00
2.483821430083333226e+00,2.361319688000000472e+00
2.483788096749999674e+00,2.361319688000000472e+00
2.483754763416666567e+00,2.359251258000000462e+00
2.483721430083333459e+00,2.363388118000000482e+00
2.483688096749999907e+00,2.361319688000000472e+00
2.483654763416666800e+00,2.359251258000000462e+00
2.483621430083332804e+00,2.361319688000000472e+00
2.483588096749999696e+00,2.361319688000000472e+00
2.483554763416666589e+00,2.357182828000000452e+00
2.483521430083333037e+00,2.361319688000000472e+00
2.483488096749999929e+00,2.361319688000000472e+00
2.483454763416666822e+00,2.355114397999999998e+00
2.483421430083333270e+00,2.361319688000000472e+00
2.483388096749999718e+00,2.363388118000000482e+00
2.483354763416666167e+00,2.361319688000000472e+00
2.483321430083333059e+00,2.355114397999999998e+00
2.483288096749999951e+00,2.359251258000000462e+00
2.483254763416666400e+00,2.361319688000000472e+00
2.483221430083333292e+00,2.355114397999999998e+00
2.483188096750000184e+00,2.363388118000000482e+00
2.483154763416666633e+00,2.355114397999999998e+00
2.483121430083333081e+00,2.357182828000000452e+00
2.483088096749999529e+00,2.361319688000000472e+00
2.483054763416666422e+00,2.361319688000000472e+00
2.483021430083333314e+00,2.361319688000000472e+00
2.482988096749999762e+00,2.359251258000000462e+00
2.482954763416666655e+00,2.359251258000000462e+00
2.482921430083333547e+00,2.355114397999999998e+00
2.482888096749999995e+00,2.357182828000000452e+00
2.482854763416666444e+00,2.357182828000000452e+00
2.482821430083332892e+00,2.357182828000000452e+00
2.482788096749999784e+00,2.361319688000000472e+00
2.482754763416666677e+00,2.359251258000000462e+00
2.482721430083333125e+00,2.353045967999999988e+00
2.482688096750000017e+00,2.363388118000000482e+00
2.482654763416666910e+00,2.361319688000000472e+00
2.482621430083332914e+00,2.355114397999999998e+00
2.482588096749999806e+00,2.361319688000000472e+00
2.482554763416666255e+00,2.363388118000000482e+00
2.482521430083333147e+00,2.361319688000000472e+00
2.482488096750000039e+00,2.355114397999999998e+00
2.482454763416666488e+00,2.355114397999999998e+00
2.482421430083333380e+00,2.357182828000000452e+00
2.482388096750000273e+00,2.353045967999999988e+00
2.482354763416666277e+00,2.361319688000000472e+00
2.482321430083333169e+00,2.361319688000000472e+00
2.482288096749999617e+00,2.363388118000000482e+00
2.482254763416666510e+00,2.359251258000000462e+00
2.482221430083333402e+00,2.363388118000000482e+00
2.482188096749999850e+00,2.363388118000000482e+00
2.482154763416666743e+00,2.359251258000000462e+00
2.482121430083332747e+00,2.361319688000000472e+00
2.482088096749999639e+00,2.361319688000000472e+00
2.482054763416666532e+00,2.363388118000000482e+00
2.482021430083332980e+00,2.359251258000000462e+00
2.481988096749999873e+00,2.363388118000000482e+00
2.481954763416666765e+00,2.361319688000000472e+00
2.481921430083333213e+00,2.355114397999999998e+00
2.481888096750000106e+00,2.355114397999999998e+00
2.481854763416666110e+00,2.361319688000000472e+00
2.481821430083333002e+00,2.355114397999999998e+00
2.481788096749999895e+00,2.355114397999999998e+00
2.481754763416666343e+00,2.355114397999999998e+00
2.481721430083333235e+00,2.361319688000000472e+00
2.481688096750000128e+00,2.355114397999999998e+00
2.481654763416666576e+00,2.363388118000000482e+00
2.481621430083333468e+00,2.361319688000000472e+00
2.481588096749999472e+00,2.359251258000000462e+00
2.481554763416666365e+00,2.357182828000000452e+00
2.481521430083333257e+00,2.361319688000000472e+00
2.481488096749999706e+00,2.359251258000000462e+00
2.481454763416666598e+00,2.361319688000000472e+00
2.481421430083333490e+00,2.357182828000000452e+00
2.481388096749999939e+00,2.361319688000000472e+00
2.481354763416666387e+00,2.361319688000000472e+00
2.481321430083332835e+00,2.361319688000000472e+00
2.481288096749999728e+00,2.355114397999999998e+00
2.481254763416666620e+00,2.357182828000000452e+00
2.481221430083333068e+00,2.361319688000000472e+00
2.481188096749999961e+00,2.361319688000000472e+00
2.481154763416666853e+00,2.361319688000000472e+00
2.481121430083333301e+00,2.361319688000000472e+00
2.481088096749999750e+00,2.363388118000000482e+00
2.481054763416666198e+00,2.363388118000000482e+00
2.481021430083333090e+00,2.355114397999999998e+00
2.480988096749999983e+00,2.361319688000000472e+00
2.480954763416666431e+00,2.357182828000000452e+00
2.480921430083333323e+00,2.361319688000000472e+00
2.480888096750000216e+00,2.363388118000000482e+00
2.480854763416666664e+00,2.361319688000000472e+00
2.480821430083333112e+00,2.361319688000000472e+00
2.480788096749999561e+00,2.355114397999999998e+00
2.480754763416666453e+00,2.357182828000000452e+00
2.480721430083333345e+00,2.361319688000000472e+00
2.480688096749999794e+00,2.355114397999999998e+00
2.480654763416666686e+00,2.361319688000000472e+00
2.480621430083333578e+00,2.361319688000000472e+00
