# Volume (mL), Pressure (Bar)
1.608166033319761823e+00,2.355114397999999998e+00
1.608827416187660342e+00,2.353045967999999988e+00
1.608794082854326790e+00,2.353045967999999988e+00
1.608760749520993238e+00,2.353045967999999988e+00
1.608032699986428060e+00,2.355114397999999998e+00
1.607999366653094953e+00,2.355114397999999998e+00
1.608660749520993472e+00,2.353045967999999988e+00
1.607238101829729260e+00,2.357182828000000452e+00
1.608594082854327256e+00,2.353045967999999988e+00
1.610089540978288047e+00,2.348495422000000055e+00
1.607832699986428082e+00,2.355114397999999998e+00
1.607799366653094530e+00,2.355114397999999998e+00
1.607766033319761423e+00,2.355114397999999998e+00
1.607732699986428315e+00,2.355114397999999998e+00
1.608394082854326834e+00,2.353045967999999988e+00
1.608360749520993727e+00,2.353045967999999988e+00
1.607632699986428548e+00,2.355114397999999998e+00
1.607599366653094553e+00,2.355114397999999998e+00
1.607566033319761445e+00,2.355114397999999998e+00
1.607532699986427893e+00,2.355114397999999998e+00
1.606110288323860491e+00,2.359251258000000462e+00
1.606771435163062645e+00,2.357182828000000452e+00
1.608127416187660197e+00,2.353045967999999988e+00
1.607399366653095019e+00,2.355114397999999998e+00
1.608894564866331756e+00,2.350563852000000509e+00
1.606638101829728882e+00,2.357182828000000452e+00
1.607299366653094808e+00,2.355114397999999998e+00
1.607266033319761256e+00,2.355114397999999998e+00
1.607232699986428148e+00,2.355114397999999998e+00
1.607199366653095041e+00,2.355114397999999998e+00
1.607166033319761489e+00,2.355114397999999998e+00
1.607132699986428381e+00,2.355114397999999998e+00
1.607099366653095274e+00,2.355114397999999998e+00
1.606371435163062245e+00,2.357182828000000452e+00
1.607727416187660241e+00,2.353045967999999988e+00
1.606999366653094619e+00,2.355114397999999998e+00
1.607660749520993582e+00,2.353045967999999988e+00
1.606932699986428403e+00,2.355114397999999998e+00
1.606899366653094852e+00,2.355114397999999998e+00
1.607560749520993815e+00,2.353045967999999988e+00
1.606832699986427748e+00,2.355114397999999998e+00
1.606799366653094641e+00,2.355114397999999998e+00
1.606766033319761533e+00,2.355114397999999998e+00
1.606732699986427981e+00,2.355114397999999998e+00
1.606699366653094874e+00,2.355114397999999998e+00
1.606666033319761766e+00,2.355114397999999998e+00
1.606632699986428214e+00,2.355114397999999998e+00
1.606599366653095107e+00,2.355114397999999998e+00
1.606566033319761111e+00,2.355114397999999998e+00
1.607227416187660074e+00,2.353045967999999988e+00
1.604415926075169363e+00,2.361319688000000472e+00
1.606466033319761344e+00,2.355114397999999998e+00
1.606432699986428236e+00,2.355114397999999998e+00
1.605010288323860834e+00,2.359251258000000462e+00
1.604976954990527283e+00,2.359251258000000462e+00
1.606332699986428025e+00,2.355114397999999998e+00
1.606994082854326544e+00,2.353045967999999988e+00
1.606960749520993437e+00,2.353045967999999988e+00
1.606232699986428258e+00,2.355114397999999998e+00
1.606894082854326777e+00,2.353045967999999988e+00
1.606860749520993670e+00,2.353045967999999988e+00
1.606132699986428491e+00,2.355114397999999998e+00
1.606794082854327010e+00,2.353045967999999988e+00
1.606760749520993459e+00,2.353045967999999988e+00
1.606032699986427836e+00,2.355114397999999998e+00
1.606694082854326799e+00,2.353045967999999988e+00
1.605966033319761621e+00,2.355114397999999998e+00
1.605238101829729036e+00,2.357182828000000452e+00
1.605899366653094962e+00,2.355114397999999998e+00
1.603782592741836321e+00,2.361319688000000472e+00
1.605832699986428302e+00,2.355114397999999998e+00
1.605799366653094751e+00,2.355114397999999998e+00
1.605766033319761199e+00,2.355114397999999998e+00
1.605732699986428091e+00,2.355114397999999998e+00
1.605699366653094984e+00,2.355114397999999998e+00
1.603582592741835899e+00,2.361319688000000472e+00
1.604243621657194030e+00,2.359251258000000462e+00
1.605599366653095217e+00,2.355114397999999998e+00
1.605566033319761221e+00,2.355114397999999998e+00
1.605532699986428113e+00,2.355114397999999998e+00
1.604804768496395528e+00,2.357182828000000452e+00
1.605466033319761454e+00,2.355114397999999998e+00
1.605432699986428347e+00,2.355114397999999998e+00
1.603315926075169262e+00,2.361319688000000472e+00
1.603282592741836154e+00,2.361319688000000472e+00
